,0
662,13709
663,6948
664,19489
665,11979
666,1484
667,21797
668,5079
669,16067
670,5355
671,34100
672,33241
673,1731
674,2073
675,11759
676,7857
677,32828
678,1760
679,4999
680,7375
681,9611
682,7805
683,10589
684,239
685,30895
686,34934
687,24701
688,3230
689,17513
690,23133
691,3394
692,9014
693,4540
694,32574
695,3616
696,1818
697,19855
698,34636
699,9488
700,1202
701,4166
702,34399
703,17269
704,8422
705,10209
706,1606
707,588
708,430
709,33338
710,31283
711,15911
712,1708
713,2924
714,27907
715,20849
716,442
717,14027
718,1604
719,907
720,33541
721,3594
722,2321
723,7270
724,33852
725,21939
726,87
727,528
728,11981
729,35321
730,3247
731,31821
732,3088
733,671
734,10801
735,372
736,33558
737,483
738,963
739,7366
740,10690
741,12815
742,32313
743,17743
744,6951
745,17395
746,8756
747,2936
748,4192
749,35320
750,5530
751,32262
752,8101
753,4565
754,2559
755,32245
756,30614
757,6802
758,2531
759,9618
760,111
761,32274
762,16143
763,34494
764,1698
765,17901
766,1829
767,31223
768,34055
769,18429
770,287
771,580
772,14629
773,9202
774,14175
775,2131
776,10918
777,22955
778,31553
779,32202
780,34792
781,1517
782,130
783,22429
784,17725
785,2971
786,541
787,5258
788,834
789,123
790,65
791,12879
792,1825
793,6286
794,11761
795,627
796,4454
797,32175
798,755
799,982
800,10531
801,11491
802,2251
803,7311
804,5351
805,1581
806,23151
807,33012
808,6149
809,504
810,9883
811,1747
812,1504
813,916
814,6985
815,870
816,17535
817,11001
818,33929
819,81
820,5279
821,12461
822,3627
823,62
824,3577
825,21189
826,35823
827,34742
828,8476
829,6165
830,1559
831,13379
832,1
833,11385
834,1274
835,34102
836,31065
837,1347
838,408
839,30524
840,31848
841,548
842,32863
843,8479
844,1277
845,525
846,30230
847,33046
848,1182
849,11783
850,4028
851,380
852,8097
853,1148
854,523
855,1110
856,2025
857,32370
858,1476
859,7004
860,6162
861,9435
862,10490
863,8995
864,2548
865,33037
866,7785
867,31178
868,34599
869,15719
870,34152
871,30654
872,31376
873,13335
874,30600
875,3478
876,20971
877,472
878,15959
879,9824
880,32949
881,32613
882,482
883,5228
884,35806
885,993
886,31559
887,32038
888,6974
889,14467
890,12355
891,18753
892,4080
893,2142
894,30514
895,34321
896,4094
897,665
898,24439
899,15751
900,7782
901,34437
902,32551
903,1796
904,3231
905,18893
906,35760
907,14811
908,124
909,22817
910,793
911,24365
912,1123
913,1729
914,1608
915,302
916,5667
917,856
918,534
919,2246
920,605
921,10832
922,33462
923,4548
924,6201
925,23135
926,721
927,10647
928,5504
929,7592
930,2397
931,18617
932,16774
933,232
934,7559
935,22145
936,8876
937,34283
938,8187
939,2964
940,4361
941,1408
942,338
943,34096
944,5507
945,3962
946,4811
947,4896
948,6422
949,1067
950,346
951,34543
952,13731
953,9911
954,9675
955,2596
956,8514
957,33417
958,25397
959,5348
960,1864
961,8709
962,2012
963,8635
964,8134
965,2350
966,18525
967,34350
968,914
969,17873
970,6468
971,4938
972,110
973,33726
974,33314
975,19945
976,33050
977,277
978,3927
979,33795
980,2276
981,14129
982,1045
983,35285
984,27787
985,1472
986,6587
987,3991
988,18121
989,1022
990,67
991,3593
992,12857
993,25
994,362
995,844
996,114
997,503
998,2308
999,9136
1000,25257
1001,2680
1002,5252
1003,1483
1004,8630
1005,33728
1006,170
1007,9673
1008,31883
1009,3265
1010,12585
1011,11617
1012,107
1013,2161
1014,293
1015,10483
1016,24909
1017,762
1018,2205
1019,32915
1020,31790
1021,152
1022,1722
1023,570
1024,874
1025,12669
1026,17949
1027,5924
1028,5277
1029,5918
1030,21773
1031,6205
1032,366
1033,9041
1034,31771
1035,1096
1036,11013
1037,249
1038,1575
1039,7152
1040,35677
1041,3363
1042,595
1043,17419
1044,1180
1045,7222
1046,28283
1047,34534
1048,21419
1049,7740
1050,2756
1051,30790
1052,395
1053,30988
1054,33209
1055,15037
1056,35338
1057,1860
1058,10156
1059,21107
1060,10779
1061,9630
1062,23623
1063,815
1064,347
1065,242
1066,1535
1067,12671
1068,33475
1069,34644
1070,30714
1071,20053
1072,19123
1073,19511
1074,2125
1075,31049
1076,10020
1077,82
1078,3907
1079,20541
1080,421
1081,4879
1082,2332
1083,997
1084,3392
1085,30240
1086,8424
1087,539
1088,30205
1089,544
1090,13411
1091,9638
1092,4868
1093,18745
1094,28619
1095,569
1096,836
1097,18411
1098,13807
1099,228
1100,763
1101,10372
1102,5493
1103,31251
1104,28999
1105,30485
1106,1250
1107,35203
1108,1367
1109,10572
1110,1205
1111,13851
1112,9982
1113,22225
1114,13629
1115,31098
1116,1042
1117,1286
1118,34572
1119,21879
1120,10348
1121,35629
1122,30891
1123,10869
1124,16694
1125,20159
1126,1954
1127,6061
1128,34383
1129,31994
1130,30869
1131,4200
1132,11553
1133,318
1134,21563
1135,6574
1136,256
1137,16638
1138,11135
1139,32954
1140,6773
1141,8317
1142,12673
1143,1120
1144,225
1145,25805
